Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
IBV,Sigtryggur Daði Rúnarsson,ibv,16,2.6,55.4,2.89,-0.33,0.5,72.7,0.4,1.1,1.9,58.6,0.2,0.9,1.21,2.07,3.7,0.3,0.4,0.1,0.9,0.1,0.3,0.1
Stjarnan,Ólafur Brim Stefánsson,stjarnan,14,0.9,66.7,0.67,+0.19,0.0,0,0.1,0.2,0.6,37.5,0.1,0.4,0.50,1.33,1.1,0.2,0.4,0.1,1.1,0.0,0.2,0.0
Thor,Aron Hólm Kristjánsson,player_images\thor,17,1.6,52.9,2.01,-0.43,0.1,33.3,0.3,1.2,2.0,60.6,0.1,2.1,0.57,0.94,2.8,0.7,0.7,0.0,0.9,0.0,0.0,0.0
Haukar,Þráinn Orri Jónsson,haukar,29,1.2,68.6,1.34,-0.13,0.0,0,0.3,0.2,0.3,77.8,0.0,0.4,0.58,0.75,1.4,0.1,0.2,0.3,1.5,0.1,0.6,0.1
IR,Bergþór Róbertsson,ir,12,0.3,75.0,0.22,+0.04,0.0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.00,1.00,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thor,Oddur Grétarsson,player_images\thor,22,4.5,63.6,4.20,+0.26,1.8,65.0,0.7,2.1,3.1,67.1,0.4,1.4,1.57,2.33,6.6,0.8,0.8,0.1,2.4,0.1,0.7,0.0
Fram,Tindur Ingólfsson,fram,10,0.8,57.1,0.79,+0.01,0.0,0,0.3,0.3,0.5,60.0,0.2,0.3,1.00,1.67,1.1,0.1,0.3,0.1,0.5,0.0,0.2,0.0
IBV,Nökkvi Snær Óðinsson,ibv,20,0.8,55.2,0.87,-0.07,0.0,0,0.0,0.1,0.1,100.0,0.0,0.0,0,0,0.9,0.4,0.2,0.0,0.1,0.0,0.1,0.0
Thor,Hafþór Ingi Halldórsson,player_images\thor,8,0.1,33.3,0.21,-0.08,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.1,0.4,0.0,0.1,1.5,0.0,0.1,0.0
Valur,Andri Finnsson,valur,32,3.6,70.6,3.59,+0.01,0.1,66.7,0.3,0.1,0.1,66.7,0.0,0.1,1.00,1.50,3.7,0.2,0.4,0.1,0.3,0.0,0.2,0.0
HK,Tómas Sigurðarson,hk,22,1.1,69.4,1.19,-0.05,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.00,1.00,1.1,0.0,0.2,0.0,0.1,0.0,0.1,0.0
Stjarnan,Loftur Ásmundsson,stjarnan,22,0.6,93.3,0.51,+0.12,0.0,0,0.1,0.4,0.4,100.0,0.0,0.2,2.00,2.00,1,0.3,0.3,0.1,2.7,0.0,0.5,0.0
IR,Róbert Snær Örvarsson,ir,22,2.7,53.6,2.56,+0.16,0.0,0,0.2,1.1,1.5,73.5,0.2,0.7,1.56,2.13,3.8,0.8,0.9,0.4,3.3,0.0,0.5,0.1
Haukar,Arnór Róbertsson,haukar,19,0.4,63.6,0.42,-0.05,0.0,0,0.1,0.0,0.0,0,0.0,0.0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thor,Hákon Ingi Halldórsson,player_images\thor,21,2.9,63.5,2.89,+0.01,0.3,100.0,0.0,0.2,0.2,80.0,0.0,0.1,2.00,2.50,3.1,0.9,0.5,0.0,1.0,0.0,0.3,0.0
Afturelding,Haraldur Björn Hjörleifsson,umfa,11,0.1,50.0,0.08,+0.01,0.0,0,0.0,0.1,0.1,100.0,0.0,0.1,1.00,1.00,0.2,0.0,0.0,0.3,0.8,0.0,0.0,0.0
Stjarnan,Dagur Logi Sigurðsson,stjarnan,4,0.5,33.3,0.69,-0.19,0.0,0,0.0,0.3,0.3,100.0,0.0,0.5,0.50,0.50,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Stjarnan,Jón Ásgeir Eyjólfsson,stjarnan,15,1.7,74.3,1.53,+0.21,0.0,0,0.4,0.3,0.4,80.0,0.0,0.3,1.00,1.25,2,0.5,0.5,0.4,4.5,0.2,0.6,0.1
Stjarnan,Hans Jörgen Ólafsson,stjarnan,21,5.2,53.7,5.11,+0.08,0.0,0,0.3,3.0,4.0,75.3,0.3,1.7,1.78,2.36,8.2,0.4,0.2,0.2,3.4,0.1,0.6,0.0
IR,Óðinn Freyr Heiðmarsson,ir,13,0.6,47.1,0.91,-0.29,0.0,0,0.3,0.1,0.1,100.0,0.0,0.5,0.17,0.17,0.7,0.2,0.5,0.2,1.5,0.2,0.6,0.1
Fram,Kjartan Þór Júlíusson,fram,21,2.6,55.1,2.59,-0.01,0.0,0,0.3,1.8,2.7,66.7,0.1,1.2,1.52,2.28,4.4,0.3,0.6,0.0,1.2,0.0,0.1,0.0
Haukar,Andri Fannar Elísson,haukar,28,2.5,65.1,2.69,-0.16,0.5,72.2,0.1,0.1,0.1,100.0,0.0,0.1,1.00,1.00,2.6,0.5,0.3,0.0,0.1,0.0,0.2,0.0
Haukar,Össur Haraldsson,haukar,28,3.6,76.3,3.29,+0.28,0.1,50.0,0.4,0.3,0.4,72.7,0.1,0.4,0.73,1.00,3.9,0.3,0.7,0.0,0.6,0.0,0.1,0.0
IBV,Kristófer Ísak Bárðarson,ibv,22,1.9,48.3,1.74,+0.17,0.0,0,0.4,0.4,0.6,64.3,0.1,0.8,0.53,0.82,2.3,0.1,0.0,0.4,1.8,0.1,0.6,0.1
HK,Haukur Ingi Hauksson,hk,24,5.4,50.2,5.37,0.00,0.0,50.0,0.7,2.5,3.7,67.4,0.5,2.6,0.97,1.44,7.9,0.3,0.5,0.0,2.3,0.0,0.3,0.0
